IP=100.215.222.128,TL=17/May/2011:06:32:10 -0400,DN=comanchecmc.foo.com,RQ=POST /i/51764/lock/ HTTP/1.1,HR=https://comanchecmc.foo.com/i/confirm/51764/,HU=Mozilla/5.0 (Windows NT 5.1; rv:2.0.1) Gecko/20100101 Firefox/4.0.1,CS=7f403186d263a2efc3bb693a184a89ac,UT=0.011,RT=0.403,US=403,SC=403
IP=100.215.222.128,TL=17/May/2011:06:32:31 -0400,DN=comanchecmc.foo.com,RQ=POST /i/51692/lock/ HTTP/1.1,HR=https://comanchecmc.foo.com/i/clean/51692/,HU=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.57 Safari/534.24,CS=0422b44239bb0bc0be1a010e80ad163f,UT=0.012,RT=0.055,US=403,SC=403
IP=100.215.222.128,TL=17/May/2011:06:32:35 -0400,DN=alv-core.foo.com,RQ=POST /i/52226/lock/ HTTP/1.1,HR=https://alv-core.foo.com/i/extract/52226/,HU=Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.19) Gecko/20110420 AskTbUT2V5/3.11.3.15590 Firefox/3.5.19,CS=8064d03fca7b7854ca8595be670211e1,UT=0.012,RT=0.953,US=403,SC=403
IP=100.215.222.128,TL=17/May/2011:06:32:41 -0400,DN=alv-core.foo.com,RQ=POST /i/52050/lock/ HTTP/1.1,HR=https://alv-core.foo.com/i/extract/52050/,HU=Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.19) Gecko/20110420 AskTbUT2V5/3.11.3.15590 Firefox/3.5.19,CS=8064d03fca7b7854ca8595be670211e1,UT=0.012,RT=0.012,US=403,SC=403
IP=100.215.222.128,TL=17/May/2011:06:32:44 -0400,DN=comanchecmc.foo.com,RQ=POST /i/51736/lock/ HTTP/1.1,HR=https://comanchecmc.foo.com/i/clean/51736/,HU=Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.17) Gecko/20110420 Firefox/3.6.17,CS=ebb06f79c2704fa657fa53ea191e16ba,UT=0.012,RT=1.002,US=403,SC=403
IP=100.215.222.128,TL=17/May/2011:06:32:45 -0400,DN=alv-core.foo.com,RQ=POST /i/52099/lock/ HTTP/1.1,HR=https://alv-core.foo.com/i/clean/52099/,HU=Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.17) Gecko/20110420 Firefox/3.6.17,CS=ebb06f79c2704fa657fa53ea191e16ba,UT=0.012,RT=1.062,US=403,SC=403
IP=100.215.222.128,TL=17/May/2011:06:32:57 -0400,DN=alv-core.foo.com,RQ=GET /i/clean/52122/ HTTP/1.1,HR=https://alv-core.foo.com/i/clean/?category_id=4436&bloc_id=,HU=Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.17) Gecko/20110420 Firefox/3.6.17,CS=ebb06f79c2704fa657fa53ea191e16ba,UT=0.508,RT=0.848,US=200,SC=200
IP=100.215.222.128,TL=17/May/2011:06:32:58 -0400,DN=alv-core.foo.com,RQ=GET /policy/wymeditor_style/ HTTP/1.1,HR=https://alv-core.foo.com/i/clean/52122/,HU=Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.17) Gecko/20110420 Firefox/3.6.17,CS=ebb06f79c2704fa657fa53ea191e16ba,UT=0.027,RT=0.027,US=200,SC=200
IP=100.215.222.128,TL=17/May/2011:06:32:59 -0400,DN=alv-core.foo.com,RQ=GET /policy/wymeditor_style/ HTTP/1.1,HR=https://alv-core.foo.com/site_media/lib/wymeditor/wymeditor/iframe/pstat/wymiframe.html,HU=Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.17) Gecko/20110420 Firefox/3.6.17,CS=ebb06f79c2704fa657fa53ea191e16ba,UT=0.031,RT=0.031,US=200,SC=200
IP=100.215.222.128,TL=17/May/2011:06:33:00 -0400,DN=alv-core.foo.com,RQ=GET /doc_attachment/import/52122/new/?_=1305628379712 HTTP/1.1,HR=https://alv-core.foo.com/i/clean/52122/,HU=Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.17) Gecko/20110420 Firefox/3.6.17,CS=ebb06f79c2704fa657fa53ea191e16ba,UT=0.110,RT=0.651,US=200,SC=200
IP=100.215.222.128,TL=17/May/2011:06:33:00 -0400,DN=alv-core.foo.com,RQ=GET /doc_attachment/import/52122/?_=1305628379705 HTTP/1.1,HR=https://alv-core.foo.com/i/clean/52122/,HU=Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.17) Gecko/20110420 Firefox/3.6.17,CS=ebb06f79c2704fa657fa53ea191e16ba,UT=0.127,RT=0.676,US=200,SC=200
IP=100.215.222.128,TL=17/May/2011:06:33:01 -0400,DN=alv-core.foo.com,RQ=POST /i/52122/lock/ HTTP/1.1,HR=https://alv-core.foo.com/i/clean/52122/,HU=Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.17) Gecko/20110420 Firefox/3.6.17,CS=ebb06f79c2704fa657fa53ea191e16ba,UT=-,RT=1.899,US=-,SC=499
IP=100.215.222.128,TL=17/May/2011:06:33:01 -0400,DN=comanchecmc.foo.com,RQ=POST /i/51692/lock/ HTTP/1.1,HR=https://comanchecmc.foo.com/i/clean/51692/,HU=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.57 Safari/534.24,CS=0422b44239bb0bc0be1a010e80ad163f,UT=0.013,RT=0.057,US=403,SC=403
